source,ingredient_id,token_id,token,label
ar,16,1,cup,UNIT
ar,16,2,cremini,NAME
ar,16,3,mushrooms,NAME
ar,16,4,",",O
ar,16,5,cut,STATE
ar,16,6,in,O
ar,16,7,half,O
ar,17,0,1,QUANTITY
ar,17,1,zucchini,NAME
ar,17,2,",",O
ar,17,3,halved,STATE
ar,17,4,lengthwise,STATE
ar,17,5,and,O
ar,17,6,cut,STATE
ar,17,7,into,O
ar,17,8,1,O
ar,17,9,inch,O
ar,17,10,slices,O
ar,18,0,1/2,QUANTITY
ar,18,1,cup,UNIT
ar,18,2,olive,NAME
ar,18,3,oil,NAME
ar,18,4,",",O
ar,18,5,or,O
ar,18,6,to,O
ar,18,7,taste,O
ar,19,0,4,QUANTITY
ar,19,1,12-inch,QUANTITY
ar,19,2,long,UNIT
ar,19,3,metal,O
ar,19,4,skewers,O
ar,20,0,1,QUANTITY
ar,20,1,cup,UNIT
ar,20,2,canned,STATE
ar,20,3,lobster,O
ar,20,4,meat,NAME
ar,20,5,",",O
ar,20,6,with,O
ar,20,7,juice,NAME
ar,21,0,2,QUANTITY
ar,21,1,tablespoons,UNIT
ar,21,2,drained,STATE
ar,21,3,pickled,STATE
ar,21,4,ginger,NAME
ar,21,5,",",O
ar,21,6,for,O
ar,21,7,garnish,O
ar,22,0,4,QUANTITY
ar,22,1,cups,UNIT
ar,22,2,water,NAME
ar,23,0,8,QUANTITY
ar,23,1,-LRB-,O
ar,23,2,8,QUANTITY
ar,23,3,inch,UNIT
ar,23,4,-RRB-,O
ar,23,5,flour,NAME
ar,23,6,tortillas,NAME
ar,24,0,cooking,NAME
ar,24,1,spray,NAME
ar,25,0,1,QUANTITY
ar,25,1,large,SIZE
ar,25,2,onion,NAME
ar,25,3,",",O
ar,25,4,chopped,STATE
ar,26,0,6,QUANTITY
ar,26,1,cups,UNIT
ar,26,2,chicken,NAME
ar,26,3,stock,NAME
ar,26,4,",",O
ar,26,5,divided,STATE
ar,27,0,1,QUANTITY
ar,27,1,tablespoon,UNIT
ar,27,2,fat-free,STATE
ar,27,3,Greek-style,NAME
ar,27,4,yogurt,NAME
ar,28,0,1,QUANTITY
ar,28,1,teaspoon,UNIT
ar,28,2,cumin,NAME
ar,28,3,seeds,NAME
ar,29,0,1/2,QUANTITY
ar,29,1,bunch,UNIT
ar,29,2,fresh,DF
ar,29,3,cilantro,NAME
ar,29,4,",",O
ar,29,5,chopped,STATE
ar,30,0,1,QUANTITY
ar,30,1,large,SIZE
ar,30,2,zucchini,NAME
ar,30,3,cut,STATE
ar,30,4,in,O
ar,30,5,half,STATE
ar,30,6,lengthwise,STATE
ar,30,7,",",O
ar,30,8,then,O
ar,30,9,cut,STATE
ar,30,10,into,O
ar,30,11,1-inch,O
ar,30,12,moons,O
ar,31,0,1/4,QUANTITY
ar,31,1,cup,UNIT
ar,31,2,2,STATE
ar,31,3,%,STATE
ar,31,4,low-fat,STATE
ar,31,5,milk,NAME
ar,32,0,1/2,QUANTITY
ar,32,1,red,NAME
ar,32,2,onion,NAME
ar,32,3,",",O
ar,32,4,chopped,STATE
ar,33,0,1,QUANTITY
ar,33,1,-LRB-,O
ar,33,2,8,QUANTITY
ar,33,3,ounce,UNIT
ar,33,4,-RRB-,O
ar,33,5,package,UNIT
ar,33,6,cream,NAME
ar,33,7,cheese,NAME
ar,33,8,",",O
ar,33,9,softened,STATE
ar,34,0,1/4,QUANTITY
ar,34,1,cup,UNIT
ar,34,2,butter,NAME
ar,35,0,1,QUANTITY
ar,35,1,cup,UNIT
ar,35,2,chestnut,NAME
ar,35,3,puree,NAME
ar,36,0,1/4,QUANTITY
ar,36,1,teaspoon,UNIT
ar,36,2,chili,NAME
ar,36,3,powder,NAME
ar,37,0,2,QUANTITY
ar,37,1,teaspoons,UNIT
ar,37,2,honey,NAME
ar,38,0,1,QUANTITY
ar,38,1,pinch,UNIT
ar,38,2,salt,NAME
ar,38,3,",",O
ar,38,4,or,O
ar,38,5,to,O
ar,38,6,taste,O
ar,39,0,3,QUANTITY
ar,39,1,tablespoons,UNIT
ar,39,2,finely,O
ar,39,3,chopped,STATE
ar,39,4,fresh,DF
ar,39,5,ginger,NAME
ar,39,6,root,NAME
ar,40,0,2,QUANTITY
ar,40,1,teaspoons,UNIT
ar,40,2,curry,NAME
ar,40,3,powder,NAME
ar,41,0,1/2,QUANTITY
ar,41,1,pound,UNIT
ar,41,2,fresh,DF
ar,41,3,medium,SIZE
ar,41,4,shrimp,NAME
ar,41,5,",",O
ar,41,6,peeled,STATE
ar,41,7,and,O
ar,41,8,deveined,STATE
ar,42,0,3,QUANTITY
ar,42,1,green,NAME
ar,42,2,onions,NAME
ar,42,3,",",O
ar,42,4,chopped,STATE
ar,43,0,1 1/2,QUANTITY
ar,43,1,teaspoons,UNIT
ar,43,2,red,NAME
ar,43,3,pepper,NAME
ar,43,4,flakes,NAME
ar,44,0,1/4,QUANTITY
ar,44,1,cup,UNIT
ar,44,2,olive,NAME
ar,44,3,oil,NAME
ar,45,0,1,QUANTITY
ar,45,1,teaspoon,UNIT
ar,45,2,salt,NAME
ar,46,0,6,QUANTITY
ar,46,1,skinless,STATE
ar,46,2,",",O
ar,46,3,boneless,STATE
ar,46,4,chicken,NAME
ar,46,5,breast,NAME
ar,46,6,halves,NAME
ar,46,7,",",O
ar,46,8,or,O
ar,46,9,more,O
ar,46,10,to,O
ar,46,11,taste,O
ar,47,0,1,QUANTITY
ar,47,1,tablespoon,UNIT
ar,47,2,white,NAME
ar,47,3,wine,NAME
ar,48,0,8,QUANTITY
ar,48,1,ounces,UNIT
ar,48,2,sliced,STATE
ar,48,3,Swiss,NAME
ar,48,4,cheese,NAME
ar,49,0,2,QUANTITY
ar,49,1,cups,UNIT
ar,49,2,queijo,NAME
ar,49,3,coalho,NAME
ar,49,4,cheese,NAME
ar,49,5,curds,NAME
ar,50,0,1,QUANTITY
ar,50,1,egg,NAME
ar,50,2,yolk,NAME
ar,51,0,1/2,QUANTITY
ar,51,1,cup,UNIT
ar,51,2,whole,UNIT
ar,51,3,or,O
ar,51,4,2,STATE
ar,51,5,%,STATE
ar,51,6,milk,NAME
ar,52,0,3,QUANTITY
ar,52,1,ounces,UNIT
ar,52,2,Cheddar,NAME
ar,52,3,cheese,NAME
ar,52,4,",",O
ar,52,5,sliced,STATE
ar,53,0,1,QUANTITY
ar,53,1,teaspoon,UNIT
ar,53,2,white,NAME
ar,53,3,sugar,NAME
ar,54,0,1/2,QUANTITY
ar,54,1,cup,UNIT
ar,54,2,chopped,STATE
ar,54,3,pecans,STATE
ar,55,0,1/2,QUANTITY
ar,55,1,cup,UNIT
ar,55,2,half-and-half,NAME
ar,56,0,1/2,QUANTITY
ar,56,1,red,NAME
ar,56,2,onion,NAME
ar,56,3,",",O
ar,56,4,finely,O
ar,56,5,chopped,STATE
ar,57,0,2,QUANTITY
ar,57,1,teaspoons,UNIT
ar,57,2,chopped,STATE
ar,57,3,garlic,NAME
ar,58,0,1,QUANTITY
ar,58,1,teaspoon,UNIT
ar,58,2,vanilla,NAME
ar,58,3,extract,NAME
ar,59,0,1/2,QUANTITY
ar,59,1,cup,UNIT
ar,59,2,strong,STATE
ar,59,3,brewed,STATE
ar,59,4,coffee,NAME
ar,60,0,lemon,NAME
ar,60,1,",",O
ar,60,2,juiced,STATE
ar,61,0,1,QUANTITY
ar,61,1,teaspoon,UNIT
ar,61,2,ground,STATE
ar,61,3,fenugreek,NAME
ar,62,0,1 1/2,QUANTITY
ar,62,1,pounds,UNIT
ar,62,2,lean,STATE
ar,62,3,ground,STATE
ar,62,4,beef,NAME
ar,63,0,6,QUANTITY
ar,63,1,ounces,UNIT
ar,63,2,artichoke,NAME
ar,63,3,hearts,NAME
ar,63,4,",",O
ar,63,5,drained,STATE
ar,63,6,and,O
ar,63,7,halved,UNIT
ar,64,0,2,QUANTITY
ar,64,1,limes,NAME
ar,65,0,2,QUANTITY
ar,65,1,tablespoons,UNIT
ar,65,2,turbinado,NAME
ar,65,3,sugar,NAME
ar,66,0,1,QUANTITY
ar,66,1,teaspoon,UNIT
ar,66,2,minced,STATE
ar,66,3,garlic,NAME
ar,67,0,1 1/2,QUANTITY
ar,67,1,tablespoons,UNIT
ar,67,2,arrowroot,NAME
ar,67,3,powder,NAME
ar,67,4,",",O
ar,67,5,or,O
ar,67,6,as,O
ar,67,7,desired,O
ar,68,0,salt,NAME
ar,68,1,and,O
ar,68,2,ground,STATE
ar,68,3,black,NAME
ar,68,4,pepper,NAME
ar,68,5,to,O
ar,68,6,taste,O
ar,69,0,1,QUANTITY
ar,69,1,tablespoon,UNIT
ar,69,2,cooking,O
ar,69,3,oil,NAME
ar,70,0,3/4,QUANTITY
ar,70,1,teaspoon,UNIT
ar,70,2,crushed,STATE
ar,70,3,beef,NAME
ar,70,4,bouillon,NAME
ar,70,5,cube,NAME
ar,71,0,1,QUANTITY
ar,71,1,red,NAME
ar,71,2,bell,NAME
ar,71,3,pepper,NAME
ar,71,4,",",O
ar,71,5,finely,O
ar,71,6,chopped,STATE
ar,72,0,2,QUANTITY
ar,72,1,tablespoons,UNIT
ar,72,2,olive,NAME
ar,72,3,oil,NAME
ar,73,0,2,QUANTITY
ar,73,1,cups,UNIT
ar,73,2,prune,NAME
ar,73,3,juice,NAME
ar,73,4,or,O
ar,73,5,water,NAME
ar,74,0,1,QUANTITY
ar,74,1,tablespoon,UNIT
ar,74,2,chili,NAME
ar,74,3,powder,NAME
ar,75,0,1,QUANTITY
ar,75,1,tablespoon,UNIT
ar,75,2,ground,STATE
ar,75,3,black,NAME
ar,75,4,pepper,NAME
ar,76,0,1/3,QUANTITY
ar,76,1,cup,UNIT
ar,76,2,freshly,DF
ar,76,3,squeezed,STATE
ar,76,4,lime,NAME
ar,76,5,juice,NAME
ar,77,0,1/4,QUANTITY
ar,77,1,teaspoon,UNIT
ar,77,2,ground,STATE
ar,77,3,black,NAME
ar,77,4,pepper,NAME
ar,78,0,4,QUANTITY
ar,78,1,cloves,UNIT
ar,78,2,garlic,NAME
ar,78,3,",",O
ar,78,4,minced,STATE
ar,79,0,1,QUANTITY
ar,79,1,cup,UNIT
ar,79,2,chopped,STATE
ar,79,3,green,NAME
ar,79,4,onion,NAME
ar,80,0,9,QUANTITY
ar,80,1,eggs,NAME
ar,81,0,1/2,QUANTITY
ar,81,1,teaspoon,UNIT
ar,81,2,chili,NAME
ar,81,3,oil,NAME
ar,81,4,-LRB-,O
ar,81,5,optional,O
ar,81,6,-RRB-,O
ar,82,0,2,QUANTITY
ar,82,1,egg,NAME
ar,82,2,yolks,NAME
ar,83,0,1,QUANTITY
ar,83,1,teaspoon,UNIT
ar,83,2,ground,STATE
ar,83,3,turmeric,NAME
ar,84,0,1,QUANTITY
ar,84,1,-LRB-,O
ar,84,2,8,QUANTITY
ar,84,3,ounce,UNIT
ar,84,4,-RRB-,O
ar,84,5,package,UNIT
ar,84,6,dry,DF
ar,84,7,pancit,NAME
ar,84,8,-LRB-,O
ar,84,9,Canton,O
ar,84,10,-RRB-,O
ar,84,11,noodles,NAME
ar,85,0,1,QUANTITY
ar,85,1,teaspoon,UNIT
ar,85,2,dried,DF
ar,85,3,oregano,NAME
ar,86,0,3/4,QUANTITY
ar,86,1,cup,UNIT
ar,86,2,shredded,STATE
ar,86,3,Parmesan,NAME
ar,86,4,cheese,NAME
ar,87,0,3,QUANTITY
ar,87,1,tablespoons,UNIT
ar,87,2,paprika,NAME
ar,88,0,3/4,QUANTITY
ar,88,1,cup,UNIT
ar,88,2,butter,NAME
ar,89,0,1 1/2,QUANTITY
ar,89,1,teaspoons,UNIT
ar,89,2,almond,NAME
ar,89,3,extract,NAME
ar,90,0,1,QUANTITY
ar,90,1,tablespoon,UNIT
ar,90,2,anise,NAME
ar,91,0,1/4,QUANTITY
ar,91,1,teaspoon,UNIT
ar,91,2,garlic,NAME
ar,91,3,salt,NAME
ar,92,0,2,QUANTITY
ar,92,1,teaspoons,UNIT
ar,92,2,minced,STATE
ar,92,3,fresh,DF
ar,92,4,ginger,NAME
ar,92,5,root,NAME
ar,93,0,1/4,QUANTITY
ar,93,1,cup,UNIT
ar,93,2,low-sodium,STATE
ar,93,3,soy,NAME
ar,93,4,sauce,NAME
ar,94,0,1,QUANTITY
ar,94,1,tablespoon,UNIT
ar,94,2,crushed,STATE
ar,94,3,peanuts,NAME
ar,95,0,onion,NAME
ar,95,1,powder,NAME
ar,96,0,1,QUANTITY
ar,96,1,cup,UNIT
ar,96,2,shredded,STATE
ar,96,3,Cheddar,NAME
ar,96,4,cheese,NAME
ar,97,0,3,QUANTITY
ar,97,1,tablespoons,UNIT
ar,97,2,dried,DF
ar,97,3,minced,STATE
ar,97,4,onion,NAME
ar,98,0,1,QUANTITY
ar,98,1,cup,UNIT
ar,98,2,salsa,NAME
ar,98,3,verde,NAME
ar,99,0,1,QUANTITY
ar,99,1,pound,UNIT
ar,99,2,bacon,NAME
ar,100,0,3,QUANTITY
ar,100,1,pounds,UNIT
ar,100,2,Italian,NAME
ar,100,3,prune,NAME
ar,100,4,plums,NAME
ar,101,0,2,QUANTITY
ar,101,1,cinnamon,NAME
ar,101,2,sticks,NAME
ar,102,0,2,QUANTITY
ar,102,1,eggs,NAME
ar,102,2,",",O
ar,102,3,beaten,STATE
ar,103,0,1,QUANTITY
ar,103,1,tablespoon,UNIT
ar,103,2,white,NAME
ar,103,3,vinegar,NAME
ar,104,0,1,QUANTITY
ar,104,1,cup,UNIT
ar,104,2,all-purpose,NAME
ar,104,3,flour,NAME
ar,105,0,2,QUANTITY
ar,105,1,teaspoons,UNIT
ar,105,2,garlic,NAME
ar,105,3,powder,NAME
ar,106,0,1/2,QUANTITY
ar,106,1,English,NAME
ar,106,2,cucumber,NAME
ar,106,3,",",O
ar,106,4,diced,STATE
ar,107,0,2,QUANTITY
ar,107,1,tablespoons,UNIT
ar,107,2,caraway,NAME
ar,107,3,seeds,NAME
ar,108,0,2,QUANTITY
ar,108,1,-LRB-,O
ar,108,2,15,QUANTITY
ar,108,3,ounce,UNIT
ar,108,4,-RRB-,O
ar,108,5,cans,UNIT
ar,108,6,garbanzo,NAME
ar,108,7,beans,NAME
ar,108,8,",",O
ar,108,9,drained,STATE
ar,109,0,1,QUANTITY
ar,109,1,-LRB-,O
ar,109,2,8,QUANTITY
ar,109,3,ounce,UNIT
ar,109,4,-RRB-,O
ar,109,5,can,UNIT
ar,109,6,sliced,STATE
ar,109,7,mushrooms,NAME
ar,109,8,",",O
ar,109,9,drained,STATE
ar,110,0,3,QUANTITY
ar,110,1,ribs,NAME
ar,110,2,celery,NAME
ar,110,3,",",O
ar,110,4,diced,STATE
ar,111,0,2,QUANTITY
ar,111,1,teaspoons,UNIT
ar,111,2,Italian,NAME
ar,111,3,seasoning,NAME
ar,112,0,1/3,QUANTITY
ar,112,1,cup,UNIT
ar,112,2,pine,NAME
ar,112,3,nuts,NAME
ar,113,0,2,QUANTITY
ar,113,1,cloves,UNIT
ar,113,2,garlic,NAME
ar,113,3,",",O
ar,113,4,minced,STATE
ar,114,0,3,QUANTITY
ar,114,1,tablespoons,UNIT
ar,114,2,all-purpose,NAME
ar,114,3,flour,NAME
ar,115,0,1,QUANTITY
ar,115,1,-LRB-,O
ar,115,2,12,QUANTITY
ar,115,3,ounce,UNIT
ar,115,4,-RRB-,O
ar,115,5,package,UNIT
ar,115,6,fresh,DF
ar,115,7,cranberries,NAME
ar,116,0,3,QUANTITY
ar,116,1,tablespoons,UNIT
ar,116,2,vegetable,NAME
ar,116,3,oil,NAME
ar,117,0,3,QUANTITY
ar,117,1,eggs,NAME
ar,118,0,2,QUANTITY
ar,118,1,cups,UNIT
ar,118,2,apple,NAME
ar,118,3,juice,NAME
ar,119,0,1,QUANTITY
ar,119,1,tablespoon,UNIT
ar,119,2,chopped,STATE
ar,119,3,fresh,DF
ar,119,4,garlic,NAME
ar,120,0,2,QUANTITY
ar,120,1,teaspoons,UNIT
ar,120,2,ground,STATE
ar,120,3,cayenne,NAME
ar,120,4,pepper,NAME
ar,121,0,1,QUANTITY
ar,121,1,tablespoon,UNIT
ar,121,2,ginger-garlic,NAME
ar,121,3,paste,NAME
ar,122,0,2,QUANTITY
ar,122,1,cups,UNIT
ar,122,2,boiling,STATE
ar,122,3,water,NAME
ar,123,0,4,QUANTITY
ar,123,1,roma,NAME
ar,123,2,-LRB-,O
ar,123,3,plum,O
ar,123,4,-RRB-,O
ar,123,5,tomatoes,NAME
ar,123,6,",",O
ar,123,7,seeded,STATE
ar,123,8,and,O
ar,123,9,diced,STATE
ar,124,0,1,QUANTITY
ar,124,1,avocado,NAME
ar,124,2,-,O
ar,124,3,peeled,STATE
ar,124,4,",",O
ar,124,5,pitted,STATE
ar,124,6,",",O
ar,124,7,and,O
ar,124,8,diced,STATE
ar,125,0,2 1/2,QUANTITY
ar,125,1,tablespoons,UNIT
ar,125,2,water,NAME
ar,126,0,3,QUANTITY
ar,126,1,tablespoons,UNIT
ar,126,2,cornstarch,NAME
ar,127,0,1/2,QUANTITY
ar,127,1,cup,UNIT
ar,127,2,Basmati,NAME
ar,127,3,rice,NAME
ar,128,0,vegetable,NAME
ar,128,1,oil,NAME
ar,129,0,2,QUANTITY
ar,129,1,teaspoons,UNIT
ar,129,2,chopped,STATE
ar,129,3,fresh,DF
ar,129,4,ginger,NAME
ar,130,0,1 1/2,QUANTITY
ar,130,1,cups,UNIT
ar,130,2,sliced,STATE
ar,130,3,fresh,DF
ar,130,4,mushrooms,NAME
ar,131,0,1,QUANTITY
ar,131,1,teaspoon,UNIT
ar,131,2,mustard,NAME
ar,131,3,seed,NAME
ar,132,0,1,QUANTITY
ar,132,1,pinch,UNIT
ar,132,2,ground,STATE
ar,132,3,black,NAME
ar,132,4,pepper,NAME
ar,133,0,1,QUANTITY
ar,133,1,cup,UNIT
ar,133,2,white,NAME
ar,133,3,sugar,NAME
ar,134,0,2,QUANTITY
ar,134,1,teaspoons,UNIT
ar,134,2,vanilla,NAME
ar,134,3,extract,NAME
ar,135,0,3,QUANTITY
ar,135,1,tablespoons,UNIT
ar,135,2,distilled,STATE
ar,135,3,white,NAME
ar,135,4,vinegar,NAME
ar,136,0,1,QUANTITY
ar,136,1,teaspoon,UNIT
ar,136,2,shrimp,NAME
ar,136,3,paste,NAME
ar,137,0,1,QUANTITY
ar,137,1,teaspoon,UNIT
ar,137,2,mustard,NAME
ar,137,3,seeds,NAME
ar,138,0,1 2/3,QUANTITY
ar,138,1,cups,UNIT
ar,138,2,jasmine,NAME
ar,138,3,rice,NAME
ar,139,0,1,QUANTITY
ar,139,1,-LRB-,O
ar,139,2,8,QUANTITY
ar,139,3,ounce,UNIT
ar,139,4,-RRB-,O
ar,139,5,package,UNIT
ar,139,6,shredded,STATE
ar,139,7,queso,NAME
ar,139,8,quesadilla,NAME
ar,139,9,-LRB-,O
ar,139,10,white,O
ar,139,11,Mexican,O
ar,139,12,cheese,O
ar,139,13,-RRB-,O
ar,140,0,2,QUANTITY
ar,140,1,cups,UNIT
ar,140,2,white,NAME
ar,140,3,sugar,NAME
ar,141,0,1 1/2,QUANTITY
ar,141,1,large,SIZE
ar,141,2,onions,NAME
ar,141,3,",",O
ar,141,4,finely,O
ar,141,5,chopped,STATE
ar,142,0,2,QUANTITY
ar,142,1,cups,UNIT
ar,142,2,chopped,STATE
ar,142,3,kale,NAME
ar,143,0,1/2,QUANTITY
ar,143,1,cup,UNIT
ar,143,2,butter,NAME
ar,143,3,",",O
ar,143,4,melted,STATE
ar,144,0,1,QUANTITY
ar,144,1,pound,UNIT
ar,144,2,chopped,STATE
ar,144,3,onions,NAME
ar,145,0,1,QUANTITY
ar,145,1,-LRB-,O
ar,145,2,10,QUANTITY
ar,145,3,ounce,UNIT
ar,145,4,-RRB-,O
ar,145,5,can,UNIT
ar,145,6,coconut,NAME
ar,145,7,milk,NAME
ar,146,0,1/2,QUANTITY
ar,146,1,teaspoon,UNIT
ar,146,2,ground,STATE
ar,146,3,cloves,NAME
ar,147,0,1,QUANTITY
ar,147,1,egg,NAME
ar,147,2,",",O
ar,147,3,beaten,STATE
ar,148,0,2,QUANTITY
ar,148,1,tablespoons,UNIT
ar,148,2,white,NAME
ar,148,3,sugar,NAME
ar,149,0,6,QUANTITY
ar,149,1,ounces,UNIT
ar,149,2,semisweet,STATE
ar,149,3,chocolate,NAME
ar,149,4,chips,NAME
ar,150,0,1,QUANTITY
ar,150,1,-LRB-,O
ar,150,2,14.5,QUANTITY
ar,150,3,ounce,UNIT
ar,150,4,-RRB-,O
ar,150,5,can,UNIT
ar,150,6,chicken,NAME
ar,150,7,broth,NAME
ar,151,0,1,QUANTITY
ar,151,1,tablespoon,UNIT
ar,151,2,lemon,NAME
ar,151,3,juice,NAME
ar,152,0,7,QUANTITY
ar,152,1,cups,UNIT
ar,152,2,water,NAME
ar,153,0,1/4,QUANTITY
ar,153,1,cup,UNIT
ar,153,2,butter,NAME
ar,153,3,",",O
ar,153,4,melted,STATE
ar,154,0,2,QUANTITY
ar,154,1,cups,UNIT
ar,154,2,milk,NAME
ar,155,0,1,QUANTITY
ar,155,1,-LRB-,O
ar,155,2,1,QUANTITY
ar,155,3,ounce,UNIT
ar,155,4,-RRB-,O
ar,155,5,package,UNIT
ar,155,6,dry,DF
ar,155,7,onion,NAME
ar,155,8,soup,NAME
ar,155,9,mix,NAME
ar,156,0,3,QUANTITY
ar,156,1,pounds,UNIT
ar,156,2,beef,NAME
ar,156,3,rump,NAME
ar,156,4,roast,NAME
ar,157,0,2,QUANTITY
ar,157,1,onions,NAME
ar,157,2,",",O
ar,157,3,thinly,O
ar,157,4,sliced,STATE
ar,158,0,1,QUANTITY
ar,158,1,cup,UNIT
ar,158,2,mayonnaise,NAME
ar,159,0,3,QUANTITY
ar,159,1,-LRB-,O
ar,159,2,11,QUANTITY
ar,159,3,ounce,UNIT
ar,159,4,-RRB-,O
ar,159,5,cans,UNIT
ar,159,6,Mexican-style,O
ar,159,7,corn,NAME
ar,160,0,toothpicks,NAME
ar,161,0,1 1/2,QUANTITY
ar,161,1,cups,UNIT
ar,161,2,distilled,STATE
ar,161,3,white,NAME
ar,161,4,vinegar,NAME
ar,162,0,1,QUANTITY
ar,162,1,teaspoon,UNIT
ar,162,2,ground,STATE
ar,162,3,black,NAME
ar,162,4,pepper,NAME
ar,163,0,1,QUANTITY
ar,163,1,teaspoon,UNIT
ar,163,2,ground,STATE
ar,163,3,cumin,NAME
ar,164,0,4,QUANTITY
ar,164,1,cloves,UNIT
ar,164,2,garlic,NAME
ar,164,3,",",O
ar,164,4,finely,O
ar,164,5,chopped,STATE
ar,165,0,Filling,NAME
ar,166,0,1,QUANTITY
ar,166,1,large,SIZE
ar,166,2,sweet,NAME
ar,166,3,onion,NAME
ar,166,4,",",O
ar,166,5,halved,UNIT
ar,167,0,1/2,QUANTITY
ar,167,1,teaspoon,UNIT
ar,167,2,ground,STATE
ar,167,3,ginger,NAME
ar,168,0,1/4,QUANTITY
ar,168,1,cup,UNIT
ar,168,2,white,NAME
ar,168,3,sugar,NAME
ar,169,0,2,QUANTITY
ar,169,1,cups,UNIT
ar,169,2,chicken,NAME
ar,169,3,broth,NAME
ar,170,0,1,QUANTITY
ar,170,1,-LRB-,O
ar,170,2,13.5,QUANTITY
ar,170,3,ounce,UNIT
ar,170,4,-RRB-,O
ar,170,5,can,UNIT
ar,170,6,coconut,NAME
ar,170,7,milk,NAME
ar,171,0,1/2,QUANTITY
ar,171,1,cup,UNIT
ar,171,2,sour,STATE
ar,171,3,cream,NAME
ar,172,0,1,QUANTITY
ar,172,1,teaspoon,UNIT
ar,172,2,hot,TEMP
ar,172,3,pepper,NAME
ar,172,4,sauce,NAME
ar,173,0,1/2,QUANTITY
ar,173,1,cup,UNIT
ar,173,2,sweetened,STATE
ar,173,3,condensed,STATE
ar,173,4,milk,NAME
ar,174,0,3,QUANTITY
ar,174,1,teaspoons,UNIT
ar,174,2,bread,NAME
ar,174,3,machine,NAME
ar,174,4,yeast,NAME
ar,175,0,2,QUANTITY
ar,175,1,eggs,NAME
ar,175,2,",",O
ar,175,3,separated,STATE
ar,176,0,1/2,QUANTITY
ar,176,1,cup,UNIT
ar,176,2,dark,NAME
ar,176,3,brown,NAME
ar,176,4,sugar,NAME
ar,177,0,1/2,QUANTITY
ar,177,1,teaspoon,UNIT
ar,177,2,baking,NAME
ar,177,3,soda,NAME
ar,178,0,1/4,QUANTITY
ar,178,1,cup,UNIT
ar,178,2,clarified,NAME
ar,178,3,butter,NAME
ar,179,0,2,QUANTITY
ar,179,1,tablespoons,UNIT
ar,179,2,butter,NAME
ar,180,0,1,QUANTITY
ar,180,1,large,SIZE
ar,180,2,eggplant,NAME
ar,180,3,",",O
ar,180,4,cut,STATE
ar,180,5,lengthwise,STATE
